"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"COMMUNICATION REPORTS","0893-4215","1745-1043","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Communication | Social Sciences, General"
"COMMUNICATION RESEARCH AND PRACTICE","2204-1451","2206-3374","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Communication | Social Sciences, General"
"COMMUNICATION RESEARCH REPORTS","0882-4096","1746-4099","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Communication"
"COMMUNICATION REVIEW","1071-4421","1547-7487","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Communication | Social Sciences, General"
"COMMUNICATION SCIENCES AND DISORDERS-CSD","2288-1328","2288-0917","KOREAN ACAD SPEECH-LANGUAGE PATHOLOGY & AUDIOLOGY","KOREA NAZARENE UNIV, DEPT COMMUNICATION DISORDERS, CHUONGNAM, SOUTH KOREA, 331-718","","Clinical Medicine | Audiology & Speech-Language Pathology"
"COMMUNICATIONS FACULTY OF SCIENCES UNIVERSITY OF ANKARA-SERIES A1 MATHEMATICS AND STATISTICS","1303-5991","1303-5991","ANKARA UNIV, FAC SCI","DOGOL CADDESI, ANKARA, TURKEY, 06100","","Mathematics | Mathematics"
"COMMUNICATIONS FOR STATISTICAL APPLICATIONS AND METHODS","2287-7843","2383-4757","KOREAN STATISTICAL SOC","SCIENCE & TECHNOLOGY, BLDG RM 709, 635-4 YEOGSAM-DONG, KANGNAM-GU, SEOUL, SOUTH KOREA, 135-703","","Mathematics | Statistics & Probability"
"COMMUNICATIONS IN APPLIED AND INDUSTRIAL MATHEMATICS","2038-0909","2038-0909","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Mathematics | Mathematics"
"COMMUNICATIONS IN INFORMATION AND SYSTEMS","1526-7555","2163-4548","INT PRESS BOSTON, INC","PO BOX 43502, SOMERVILLE, USA, MA, 02143","","Computer Science | Computer Science, Information Systems"
"COMMUNICATIONS IN INFORMATION LITERACY","1933-5954","1933-5954","COMMUNICATIONS INFORMATION LITERACY","C/O STEWART BROWER, UNIV OKLAHOMA-TULSA LIBRARY, TULSA, USA, TX, 74135","English","Social Sciences, General | Information Science & Library Science"
"COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE","2052-2541","2052-2541","SCIENCE & KNOWLEDGE PUBL CORP LTD","39-41 CHASE SIDE, SOUTHGATE, LONDON, ENGLAND, N14 5BP","","Computer Science | Computer Science, Information Systems"
"COMMUNICATIONS IN MATHEMATICS AND APPLICATIONS","0976-5905","0976-5905","RGN PUBL","A-251-1, OPPOSITE PRIMARY SCH, SHASTRI NAGAR, DELHI, INDIA, 110 052","","Mathematics | Mathematics"
"COMMUNICATION & SOCIETY-SPAIN","2386-7876","2386-7876","UNIV NAVARRA, SERV PUBLICACIONES","CAMPUS UNIV, PAMPLONA, SPAIN, 31009","English, Spanish","Communication | Social Sciences, General"
"COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS","1529-3181","1529-3181","ASSOC INFORMATION SYSTEMS","GEORGIA STATE UNIV, 35 BROAD STREET, STE 916-917, ATLANTA, USA, GA, 30303","","Computer Science | Computer Science, Information Systems"
"COMMUNICATIONS OF THE KOREAN MATHEMATICAL SOCIETY","1225-1763","2234-3024","KOREAN MATHEMATICAL SOC","KOREA SCIENCE TECHNOLOGY CTR 202, 635-4 YEOKSAM-DONG, KANGNAM-KU, SEOUL, SOUTH KOREA, 135-703","","Mathematics | Mathematics"
"COMMUNICATION STUDIES","1051-0974","1745-1035","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Communication | Social Sciences, General"
"COMMUNICATION TEACHER","1740-4622","1740-4630","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Communication | Social Sciences, General"
"COMMUNICATION TODAY","1338-130X","1338-130X","UNIV SS CYRIL & METHODIUS TRNAVA, FAC MASS MEDIA COMMUNICATION","NAMESTIE JOZEFA HERDU 2, TRNAVA, SLOVAKIA, 91701","","Communication | Social Sciences, General"
"COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH","0250-0167","1753-5379","UNISA PRESS","PO BOX 392, PRETORIA, SOUTH AFRICA, 0003","","Communication | Social Sciences, General"
"COMMUNIQUER","","2368-9587","UNIV QUEBEC MONTREAL-UQAM","405 SAINTE-CATHERINE STR E, MONTREAL, CANADA, QC, H2L 2C4","English, French","Communication | Social Sciences, General"
"COMMUNITAS","1023-0556","2415-0525","UNIV ORANGE FREE STATE","DIV IMMUNOL/DEPT ONCOTHERAPY PO BOX 339 G62, BLOEMFONTEIN, SOUTH AFRICA, ZA-9300","","Communication | Social Sciences, General"
"COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE","1066-8926","1521-0413","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","","Social Sciences, General | Education & Educational Research"
"COMMUNITY COLLEGE REVIEW","0091-5521","1940-2325","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Social Sciences, General | Education & Educational Research"
"COMMUNITY DEVELOPMENT","1557-5330","1944-7485","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Development Studies"
"COMMUNITY WORK & FAMILY","1366-8803","1469-3615","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Sociology"
"COMPANY AND SECURITIES LAW JOURNAL","0729-2775","0729-2775","LAWBOOK CO LTD","LEVEL 6, 19 HARRIS ST, PYRMONT, AUSTRALIA, NSW, 2009","","Social Sciences, General | Law"
"COMPARATIST","0195-7678","1559-0887","UNIV NORTH CAROLINA PRESS","BOX 2288, JOURNALS DEPT, CHAPEL HILL, USA, NC, 27515-2288","","Literature"
"COMPARATIVE AMERICAN STUDIES","1477-5700","1741-2676","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Humanities, Multidisciplinary"
"COMPARATIVE AND CONTINENTAL PHILOSOPHY","1757-0638","1757-0646","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Philosophy"
"COMPARATIVE AND INTERNATIONAL LAW JOURNAL OF SOUTHERN AFRICA-CILSA","0010-4051","0010-4051","UNIV SOUTH AFRICA, INST FOREIGN & COMPARATIVE LAW","PO BOX 392, PRETORIA, SOUTH AFRICA, 0003","","Social Sciences, General | Law"
"COMPARATIVE COGNITION & BEHAVIOR REVIEWS","1911-4745","1911-4745","COMPARATIVE COGNITION SOC","COMPARATIVE COGNITION SOC, KINGSTON, CANADA, ON, 00000","English","Plant & Animal Science | Behavioral Sciences"
"COMPARATIVE ECONOMIC RESEARCH-CENTRAL AND EASTERN EUROPE","1508-2008","2082-6737","LODZ UNIV PRESS","UL LINDLEYA 8, LODZ, POLAND, 90-131","English","Economics | Economics & Business"
"COMPARATIVE ECONOMIC STUDIES","0888-7233","1478-3320","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","","Economics | Economics & Business"
"COMPARATIVE EXERCISE PHYSIOLOGY","1755-2540","1755-2559","WAGENINGEN ACADEMIC PUBLISHERS","PO BOX 220, WAGENINGEN, NETHERLANDS, 6700 AE","","Veterinary Sciences | Agricultural Sciences"
"COMPARATIVE LEGAL HISTORY","2049-677X","2049-6788","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Law"
"COMPARATIVE LITERATURE-EAST & WEST","","2572-3618","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Literature"
"COMPARATIVE PHILOSOPHY-AN INTERNATIONAL JOURNAL OF CONSTRUCTIVE ENGAGEMENT OF DISTINCT APPROACHES TOWARD WORLD PHILOSOPHY","","2151-6014","SAN JOSE STATE UNIV","ONE WASHINGTON SQ, SAN JOSE, USA, CA, 95192","English","Philosophy"
"COMPARATIVE POPULATION STUDIES","1869-8980","1869-8999","BUNDESINSTITUT BEVOELKERUNGSFORSCHUNG","FRIEDRICH-EBERT-ALLEE 4, WIESBADEN, GERMANY, 65185","English","Social Sciences, General | Demography"
"COMPARATIVE SOCIOLOGY","1569-1322","1569-1330","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","","Social Sciences, General | Sociology"
"COMPARATIVE STUDIES OF SOUTH ASIA AFRICA AND THE MIDDLE EAST","1089-201X","1548-226X","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","","Social Sciences, General | Area Studies"
"COMPASS-A REVIEW OF TOPICAL THEOLOGY","1036-9686","1839-5120","AUSTRALIAN PROVINCE MISSIONARIES SACRED HEART","TREAND HOUSE, 1A WALTHAM ST, PO BOX 252, COOGEE, AUSTRALIA, NSW 2034","","Religion"
"COMPETITIVENESS REVIEW","1059-5422","2051-3143","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Business | Economics & Business"
"COMPLEX ADAPTIVE SYSTEMS MODELING","2194-3206","2194-3206","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Computer Science, Interdisciplinary Applications | Computer Science"
"COMPLEX MANIFOLDS","2300-7443","2300-7443","DE GRUYTER POLAND SP Z O O","BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811","English","Mathematics | Mathematics"
"COMPLEX SYSTEMS","0891-2513","0891-2513","COMPLEX SYSTEMS PUBLICATIONS INC","PO BOX 6149, CHAMPAIGN, USA, IL, 61826","","Mathematics | Mathematics, Interdisciplinary Applications"
"COMPLICITY-AN INTERNATIONAL JOURNAL OF COMPLEXITY AND EDUCATION","1710-5668","1710-5668","UNIV ALBERTA LIBRARIES","4-99 HUMANITIES CENTRE, B7 RUTHERFORD S, EDMONTON, CANADA, ALBERTA, T6G 2J4","","Social Sciences, General | Education & Educational Research"
"COMPLUTENSE JOURNAL OF ENGLISH STUDIES","2386-3935","2386-6624","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","","Language & Linguistics"
"COMPOSITES-MECHANICS COMPUTATIONS APPLICATIONS","2152-2057","2152-2073","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","","Mechanics | Engineering"
"COMPOSITES RESEARCH","2288-2103","2288-2111","KOREAN SOC COMPOSITE MATERIALS","1337, SEOCHO 2-DONG, SEOCHO-GU, SEOUL, SOUTH KOREA, 137-070","","Materials Science, Composites | Materials Science"
"COMPOSITES THEORY AND PRACTICE","2084-6096","2299-128X","POLISH SOC COMPOSITE MATERIALS","AL ARMII KRAJOWEJ 19, CZESTOCHOWA, POLAND, 42-200","","Materials Science, Composites | Materials Science"
"COMPREHENSIVE CHILD AND ADOLESCENT NURSING-BUILDNG EVIDENCE FOR PRACTICE","2469-4193","2469-4207","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","","Clinical Medicine | Nursing"
"COMPUTABILITY-THE JOURNAL OF THE ASSOCIATION CIE","2211-3568","2211-3576","IOS PRESS","NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG","","Mathematics, Applied"
"COMPUTACION Y SISTEMAS","1405-5546","2007-9737","IPN, CENTRO INVESTIGAVION COMPUTACION","AV JUAN DIOS BATIZ, S N ESQ M OTHON MENDIZABAL, UP ADOLFO LOPEZ MATEOS ZACATENCO, MEXICO CITY, MEXICO, 07738","","Computer Science | Computer Science, Information Systems"
"COMPUTATION","2079-3197","2079-3197","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Multidisciplinary | Mathematics, Interdisciplinary Applications"
"COMPUTATIONAL CONDENSED MATTER","2352-2143","2352-2143","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","","Physics | Physics, Condensed Matter"
"COMPUTATIONAL MANAGEMENT SCIENCE","1619-697X","1619-6988","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","","Social Sciences, Mathematical Methods | Economics & Business"
"COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS","2345-3982","2383-2533","UNIV TABRIZ","UNIV TABRIZ, TABRIZ, IRAN, 00000","English","Mathematics | Mathematics, Applied"
"COMPUTATIONAL THERMAL SCIENCES","1940-2503","1940-2554","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","","Thermodynamics | Engineering"
"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING-IMAGING AND VISUALIZATION","2168-1163","2168-1171","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Engineering, Biomedical"
"COMPUTER OPTICS","0134-2452","2412-6179","IMAGE PROCESSING SYSTEMS INST, RUSSIAN ACAD SCIENCES","SAMARA, MOLODOGVARDEYSKAYA ST 151, MOSCOW, RUSSIA, 443001","English, Russian","Physics | Optics"
"COMPUTERS","2073-431X","2073-431X","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Computer Science, Interdisciplinary Applications | Computer Science"
"COMPUTER SCIENCE-AGH","1508-2806","2300-7036","AGH UNIV SCIENCE & TECHNOLOGY PRESS","AL MICKIEWICZA 30, KRAKOW, POLAND, 30-059","English","Computer Science, Theory & Methods | Computer Science"
"COMPUTER SCIENCE EDUCATION","0899-3408","1744-5175","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Education & Educational Research"
"COMPUTER SCIENCE JOURNAL OF MOLDOVA","1561-4042","1561-4042","INST MATHEMATICS & COMPUTER SCIENCE ACAD","ACADEMIEI 5, CHISINAU, KISHINEV, MOLDOVA, 2028","English","Computer Science, Theory & Methods | Computer Science"
"COMPUTERS IN THE SCHOOLS","0738-0569","1528-7033","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Education & Educational Research"
"COMPUTING AND VISUALIZATION IN SCIENCE","1432-9360","1433-0369","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","","Mathematics | Mathematics, Interdisciplinary Applications"
"COMUNICACION Y HOMBRE","1885-365X","1885-9542","UNIV FRANCISCO VITORIA","CARRETERA POZUELO-MAJADAHONDA KM 1800, POZUELO ALARCON, MADRID, SPAIN, 28223","Spanish","Communication | Social Sciences, General"
"COMUNICACION Y MEDIOS","0716-3991","0719-1529","UNIV CHILE","CASILLA 10 D, SANTIAGO, CHILE, 00000","Spanish","Communication | Social Sciences, General"
"COMUNICACIO-REVISTA DE RECERCA I D ANALISI","2014-0304","2014-0444","SOC CATALANA COMUNICACIO","CARRER DEL CARME 47, BARCELONA, SPAIN, 08001","Catalan, English, Spanish","Communication | Social Sciences, General"
"COMUNICACOES","0104-8481","2238-121X","UNIV METODISTA PIRACICABA-UNIMEP","FAC GESTAO & NEGOCIOS PROG PO-GRAD & ADM-MESTRADO & DOUTORADO-PPGA, RODOVIA ACUCAR KM 156, PIRACICABA, BRAZIL, SP 13400-911","Portuguese","Social Sciences, General | Education & Educational Research"
"COMUNICAZIONE FILOSOFICA","1128-9082","1128-9082","SOC FILOSOFICA ITALIANA-SFI","DIPT STUDI FILOSOFICI, UNIV STUDI DI ROMA LA SAPIENZA, ROME, ITALY, 00161","","Philosophy"
"COMUNIDAD Y SALUD","1690-3293","1690-3293","UNIV CARABOBO","FAC CIENCIAS SALUD, CARABOBO, VENEZUELA, 00000","","Clinical Medicine | Public, Environmental & Occupational Health"
"CON A DE ANIMACION","2173-6049","2173-3511","UNIV POLITECNICA VALENCIA, EDITORIAL UPV","CAMINO VERA S-N, VALENCIA, SPAIN, 46022","Spanish","Film, Radio, Television"
"CONCENTRIC-STUDIES IN LINGUISTICS","1810-7478","1810-7478","NATL TAIWAN NORMAL UNIV, COLL INT STUDIES & SOCIAL SCIENCES","162 HEPING EAST RD, SECTION 1, TAIPEI, TAIWAN, 106","","Language & Linguistics"
"CONCRETE OPERATORS","2299-3282","2299-3282","DE GRUYTER POLAND SP Z O O","BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811","English","Mathematics | Mathematics"
"CONDENSED MATTER","2410-3896","2410-3896","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Physics | Physics, Condensed Matter"
"CONEXAO-COMUNICACAO E CULTURA","1677-0943","2178-2687","UNIV CAXIAS SUL, CENTRO CIENCIAS COMUNICACAO","RUA FRANCISCO GETULIO VARGAS, 1130, CAXIAS DO SUL, BRAZIL, 95070-560","","Communication | Social Sciences, General"
"CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA DE GEOGRAFIA","1958-9212","1958-9212","REVUES ORG","CENTRE SOCIOLOGIE ORGANISATIONS CSO SCIENCES PO-CNRS, 27 RUE SAINT-GUILLAUME, PARIS, FRANCE, 75007","English, French, Portuguese","Social Sciences, General | Geography"
"CONFLICT RESOLUTION QUARTERLY","1536-5581","1541-1508","WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104","","Social Sciences, General | Social Sciences, Interdisciplinary"
"CONFLICT SECURITY & DEVELOPMENT","1467-8802","1478-1174","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | International Relations"
"CONFLICT STUDIES QUARTERLY","2285-7605","2285-7605","ACCENT PUBLISHER","ACCENT PUBLISHER, CLUJ NAPOCA, ROMANIA, 00000","English","Political Science | Social Sciences, General"
"CONFLUENZE-RIVISTA DI STUDI IBEROAMERICANI","2036-0967","2036-0967","UNIV STUDI BOLOGNA, ALMADL JOURNALS","VIA ZAMBONI 33, BOLOGNA, ITALY, 40126","Italian, Portuguese, Spanish","Humanities, Multidisciplinary"
"CONFORMAL GEOMETRY AND DYNAMICS","1088-4173","1088-4173","AMER MATHEMATICAL SOC","201 CHARLES ST, PROVIDENCE, USA, RI, 02940-2213","","Mathematics | Mathematics"
"CONGRESS & THE PRESIDENCY-A JOURNAL OF CAPITAL STUDIES","0734-3469","1944-1053","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Political Science | Social Sciences, General"
"CONHECIMENTO & DIVERSIDADE","1983-3695","2237-8049","CENTRO UNIV LA SALLE-RJ","RUA GASTAO GONCALVES, 79, SALA 401, SANTA ROSA, NITEROI, RIO DE JANEIRO, BRAZIL, 24240-030","","Social Sciences, General | Social Sciences, Interdisciplinary"
"CONIMBRIGA-REVISTA DE ARQUEOLOGIA","0084-9189","1647-8657","COIMBRA UNIV PRESS","RUA DA ILHA, NO 1, COIMBRA, PORTUGAL, 3000-214","Portuguese","Archaeology"
"CONNECTICUT INSURANCE LAW JOURNAL","1081-9436","1081-9436","UNIV CONNECTICUT, SCH LAW","65 ELIZABETH ST, HARTFORD, USA, CT, 06105","","Social Sciences, General | Law"
"CONNECTIST-ISTANBUL UNIVERSITY JOURNAL OF COMMUNICATION SCIENCES","1302-633X","2636-8943","ISTANBUL UNIV, FAC COMMUNICATION","ISTANBUL UNIV, FAC COMMUNICATION, BEYAZIT, ISTANBUL, TURKEY, 34116","","Communication"
"CONSERVAR PATRIMONIO","1646-043X","2182-9942","ASSOC PROFISSIONAL CONSERVADORES-RESTAURADORES PORTUGAL","PRACA DAS AMOREIRAS 8, LISBON, PORTUGAL, 1250-020","English, Portuguese, Spanish","Humanities, Multidisciplinary"
"CONSERVATION SCIENCE AND PRACTICE","2578-4854","2578-4854","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Biodiversity Conservation"
"CONSERVATION SCIENCE IN CULTURAL HERITAGE","1974-4951","1973-9494","MIMESIS EDIZIONI","VIA MONFALCONE 17-19, SESTO SAN GIOVANNI, ITALY, MI 20099","English, Italian","Humanities, Multidisciplinary"
"CONSTELACIONES","2340-177X","2531-1360","FUNDACION UNIV SAN PABLO CEU","URBANIZACION MONTEPRINCIPE, S-N ALCORCON, MADRID, SPAIN, 28668","","Architecture"
"CONSTELACIONES-REVISTA DE TEORIA CRITICA","2172-9506","2172-9506","SOC ESTUDIOS TEORIA CRITICA","C/ALBASANZ, 26-28, MADRID, SPAIN, 28037","","Philosophy"
"CONSTELLATIONS-AN INTERNATIONAL JOURNAL OF CRITICAL AND DEMOCRATIC THEORY","1351-0487","1467-8675","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Political Science | Social Sciences, General"
"CONSTITUTIONAL POLITICAL ECONOMY","1043-4062","1572-9966","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","","Social Sciences, General | Law"
"CONSTRUCTION ECONOMICS AND BUILDING","1835-6354","1837-9133","UNIV TECHNOLOGY, SYDNEY-UTS EPRESS","BROADWAY, PO BOX 123, SYDNEY, AUSTRALIA, NSW, 2007","English","Management | Economics & Business"
"CONSTRUCTION INNOVATION-ENGLAND","1471-4175","1477-0857","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Construction & Building Technology | Engineering"
"CONSTRUCTION MANAGEMENT AND ECONOMICS","0144-6193","1466-433X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Business | Economics & Business"
"CONSTRUCTIONS AND FRAMES","1876-1933","1876-1941","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","","Language & Linguistics"
"CONTABILIDADE GESTAO E GOVERNANCA","1984-3925","1984-3925","UNIV BRASILIA, BUS ADM DEPT","CAMPUS DARCY RIBEIRO, BRASILIA, BRAZIL, DF 70910-90","Portuguese","Management | Economics & Business"
"CONTABILIDAD Y NEGOCIOS","1992-1896","2221-724X","PONTIFICIA UNIV CATOLICA PERU","AV UNIVERSITARIA 1801, SAN MIGUEL, PERU, LIMA, 32","English, Portuguese, Spanish","Economics & Business | Business, Finance"
"CONTAGION-JOURNAL OF VIOLENCE MIMESIS AND CULTURE","1075-7201","1930-1200","MICHIGAN STATE UNIV PRESS","1405 SOUTH HARRISON RD, STE 25 MANLY MILES BUILDING, E LANSING, USA, MI, 48823-5202","","Humanities, Multidisciplinary"
"CONTEMPORANEA-REVISTA DE SOCIOLOGIA DA UFSCAR","2236-532X","2316-1329","UNIV SAO CARLOS, DEPT SOCIOLOGY FEDERAL","UNIV SAO CARLOS, DEPT SOCIOLOGY FEDERAL, SAO CARLOS, BRAZIL, 00000","","Social Sciences, General | Sociology"
"CONTEMPORARY ASIA ARBITRATION JOURNAL","1999-9747","1999-9747","ASIAN CENTER WTO & INT HEALTH LAW & POLICY, COLL LAW","NATL TAIWAN UNIV-ACWH, NO 1, SEC 4, ROOSEVELT RD, TAIPEI, TAIWAN, 106","","Social Sciences, General | Law"
"CONTEMPORARY CLINICAL DENTISTRY","0976-237X","0976-2361","WOLTERS KLUWER MEDKNOW PUBLICATIONS","WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, INDIA, 400059","English","Dentistry, Oral Surgery & Medicine | Clinical Medicine"
"CONTEMPORARY CLINICAL TRIALS COMMUNICATIONS","2451-8654","2451-8654","ELSEVIER INC","525 B STREET, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Medicine, Research & Experimental | Clinical Medicine"
"CONTEMPORARY ECONOMICS","2084-0845","2300-8814","UNIV ECONOMICS & HUMAN SCIENCES WARSAW","OKOPOWA 59, WARSAW, Poland, 01-043","English","Economics | Economics & Business"
"CONTEMPORARY EUROPE-SOVREMENNAYA EVROPA","0201-7083","0201-7083","ROSSIISKAYA AKAD NAUK, INST EVROPY","MOKHOVAYA UL DOM 11, STR 3B, MOSCOW, RUSSIA, 125993","","Social Sciences, General | Area Studies"
"CONTEMPORARY FAMILY THERAPY","0892-2764","1573-3335","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","","Psychiatry/Psychology | Psychology, Clinical"
"CONTEMPORARY ISLAM-DYNAMICS OF MUSLIM LIFE","1872-0218","1872-0226","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","","Religion"
"CONTEMPORARY ISSUES IN EARLY CHILDHOOD","1463-9491","1463-9491","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","","Social Sciences, General | Education & Educational Research"
"CONTEMPORARY REVIEW OF THE MIDDLE EAST","2347-7989","2349-0055","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","International Relations | Area Studies"
"CONTEMPORARY SOCIAL SCIENCE","2158-2041","2158-205X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Social Sciences, General | Social Sciences, Interdisciplinary"
"CONTEMPORARY SOUTH ASIA","0958-4935","1469-364X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Area Studies"
"CONTEMPORARY TRENDS IN GEOSCIENCE","2084-5707","2299-8179","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Geosciences | Geosciences, Multidisciplinary"
"CONTEMPORARY VOICE OF DALIT","2455-328X","2456-0502","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Social Sciences, Interdisciplinary"
"CONTEXTO","1315-9453","1315-9453","UNIV ANDES, TACHIRA","APART POSTAL 273, SAN CRISTOBAL, VENEZUELA, 5001-A","","Literature"
